               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.045746,            0.013492,           0.0025172,             0.61029,             0.44167,              0.4813,             0.20142,            0.049478,           0.0098875,           0.0025105,           0.0096634,           0.0096634,           0.0096634
                  36,            0.048151,            0.015071,           0.0033007,             0.43504,                 0.4,             0.38875,               0.139,            0.041846,            0.010823,           0.0031244,           0.0096535,           0.0096535,           0.0096535
                  37,            0.040376,            0.015169,           0.0026009,             0.68713,             0.50833,             0.50496,             0.20033,            0.042094,            0.011809,           0.0023646,           0.0096436,           0.0096436,           0.0096436
                  38,            0.044029,            0.015591,           0.0033039,             0.65323,             0.54774,             0.56499,             0.20905,            0.039724,            0.010576,           0.0019361,           0.0096337,           0.0096337,           0.0096337
                  39,            0.043118,            0.017238,           0.0046472,             0.78452,             0.63043,             0.63101,             0.26988,            0.041792,            0.010413,           0.0018877,           0.0096238,           0.0096238,           0.0096238
                  40,            0.038594,             0.01809,           0.0025184,             0.71905,                 0.5,             0.57164,             0.27257,            0.036584,            0.010591,           0.0015664,           0.0096139,           0.0096139,           0.0096139
                  41,             0.04463,            0.016169,           0.0026176,             0.65073,             0.66232,             0.67742,             0.29596,            0.041984,            0.010341,           0.0019357,            0.009604,            0.009604,            0.009604
                  42,            0.048452,             0.01735,           0.0039179,             0.78864,                 0.6,             0.68068,             0.32539,            0.041993,             0.01038,           0.0022289,           0.0095941,           0.0095941,           0.0095941
                  43,             0.04631,            0.016987,           0.0041315,             0.66907,              0.4534,             0.55905,             0.24525,            0.045833,            0.010702,           0.0066818,           0.0095842,           0.0095842,           0.0095842
                  44,            0.041453,            0.016445,           0.0027679,             0.62696,             0.64167,             0.60182,             0.23791,              0.0416,            0.011333,           0.0068165,           0.0095743,           0.0095743,           0.0095743
                  45,            0.038745,            0.015365,           0.0036068,             0.75773,             0.62505,             0.57807,              0.1821,            0.048238,            0.010946,           0.0074169,           0.0095644,           0.0095644,           0.0095644
                  46,            0.036585,             0.01372,           0.0047884,             0.61385,             0.64103,             0.58565,             0.21081,            0.044547,             0.01044,           0.0081787,           0.0095545,           0.0095545,           0.0095545
                  47,            0.035388,            0.013435,           0.0052089,             0.38763,             0.64177,             0.45167,             0.12081,            0.047772,            0.010728,            0.011921,           0.0095446,           0.0095446,           0.0095446
                  48,              0.0465,            0.017118,           0.0027853,             0.76278,             0.30274,             0.41515,             0.14276,            0.048723,            0.011136,            0.044147,           0.0095347,           0.0095347,           0.0095347
                  49,             0.04123,            0.014817,            0.003132,             0.54057,             0.46692,              0.4698,             0.15513,            0.039714,            0.011823,            0.017465,           0.0095248,           0.0095248,           0.0095248
                  50,            0.039444,            0.014535,           0.0068429,             0.62376,             0.48297,             0.51428,             0.14503,            0.043759,            0.011912,            0.021039,           0.0095149,           0.0095149,           0.0095149
                  51,            0.040453,            0.016345,           0.0027621,              0.6561,             0.49167,             0.51395,               0.154,            0.046257,            0.011101,            0.015907,            0.009505,            0.009505,            0.009505
                  52,            0.041623,            0.017178,           0.0040329,              0.6432,             0.56952,             0.57704,             0.20353,            0.041555,            0.011032,            0.010623,           0.0094951,           0.0094951,           0.0094951
                  53,            0.039136,             0.01576,           0.0027277,             0.76559,             0.62605,             0.66561,              0.2691,            0.039356,           0.0099485,           0.0019339,           0.0094852,           0.0094852,           0.0094852
                  54,            0.039599,            0.013177,           0.0020081,             0.70615,             0.49167,             0.57969,              0.2581,            0.040292,           0.0099487,           0.0017227,           0.0094753,           0.0094753,           0.0094753
                  55,            0.037902,            0.013328,           0.0029571,             0.48226,             0.62191,              0.5219,             0.22845,            0.038296,           0.0099013,           0.0015603,           0.0094654,           0.0094654,           0.0094654
                  56,              0.0406,            0.013555,           0.0027554,             0.59302,                 0.6,             0.58224,             0.25917,            0.043005,            0.010078,           0.0014613,           0.0094555,           0.0094555,           0.0094555
                  57,            0.034833,            0.012806,           0.0031501,             0.75868,             0.63333,             0.67015,             0.24716,            0.046227,            0.010065,            0.001539,           0.0094456,           0.0094456,           0.0094456
                  58,            0.042762,            0.015119,           0.0042977,             0.84102,             0.48392,             0.64128,             0.29401,            0.042755,           0.0093222,           0.0015482,           0.0094357,           0.0094357,           0.0094357
                  59,            0.039924,            0.016482,           0.0028313,             0.92782,              0.6379,             0.71644,             0.32479,            0.042716,           0.0096896,           0.0022537,           0.0094258,           0.0094258,           0.0094258
                  60,            0.045879,            0.016529,            0.002935,             0.62541,             0.57821,             0.65288,             0.34625,            0.037077,           0.0096705,            0.002912,           0.0094159,           0.0094159,           0.0094159
                  61,            0.042414,            0.016505,           0.0032056,              0.5591,             0.64167,             0.53769,              0.2491,            0.041856,            0.011589,           0.0071627,            0.009406,            0.009406,            0.009406
                  62,            0.040591,            0.013933,           0.0042167,             0.49664,             0.61216,             0.43381,              0.2421,            0.040844,            0.011204,           0.0063023,           0.0093961,           0.0093961,           0.0093961
                  63,             0.04319,            0.013857,           0.0035075,             0.78613,             0.49692,             0.53103,             0.28786,            0.036511,            0.011215,           0.0082373,           0.0093862,           0.0093862,           0.0093862
                  64,            0.042863,            0.015024,           0.0038048,             0.69851,             0.55833,             0.56787,             0.29273,            0.040037,            0.010877,           0.0056149,           0.0093763,           0.0093763,           0.0093763
                  65,             0.03427,            0.012683,           0.0025037,             0.83886,             0.54135,             0.66013,             0.33822,             0.03578,             0.01114,           0.0030164,           0.0093664,           0.0093664,           0.0093664
                  66,            0.038708,            0.013836,           0.0018922,             0.70973,             0.67693,             0.64883,             0.28269,            0.038567,             0.01007,           0.0018499,           0.0093565,           0.0093565,           0.0093565
                  67,            0.037257,            0.013139,           0.0020828,             0.85154,             0.68502,             0.76911,             0.36208,            0.036179,           0.0095851,           0.0021971,           0.0093466,           0.0093466,           0.0093466
                  68,              0.0405,            0.014081,           0.0019094,              0.8665,             0.72689,             0.75077,             0.31078,             0.03939,           0.0093396,           0.0022151,           0.0093367,           0.0093367,           0.0093367
                  69,            0.039569,            0.014139,           0.0016378,             0.56586,             0.74897,              0.6633,             0.32571,            0.040562,           0.0096617,           0.0015473,           0.0093268,           0.0093268,           0.0093268
                  70,            0.033537,            0.012789,           0.0013058,             0.66184,             0.59836,             0.62063,             0.30006,            0.039762,            0.010148,           0.0014377,           0.0093169,           0.0093169,           0.0093169
